Keuwl Accelerometer Data File
2023-11-03 01:40:50

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.7749940,-0.260968,2.477999,9.435549,9.759004,14.792736,96.011887
0.7799990,-0.289698,2.482787,9.411607,9.737889,14.873816,96.655334
0.7850039,-0.318429,2.482787,9.399636,9.727219,14.911793,97.308548
0.7899781,-0.335188,2.482787,9.416395,9.743977,14.898874,97.688721
0.7949831,-0.330400,2.477999,9.428367,9.754165,14.850223,97.594643
0.7999879,-0.337582,2.480393,9.411607,9.738822,14.894464,97.750359
0.8049928,-0.320823,2.480393,9.414001,9.740570,14.878312,97.369926
0.8099977,-0.320823,2.463634,9.387665,9.710853,14.823416,97.419502
0.8150027,-0.339977,2.487576,9.380483,9.710668,14.984081,97.782394
0.8200073,-0.347159,2.485181,9.373300,9.703370,14.987133,97.952286
0.8249818,-0.337582,2.473210,9.382876,9.709228,14.897452,97.772591
0.8299867,-0.342371,2.470816,9.402030,9.727298,14.858668,97.889008
0.8349916,-0.306458,2.470816,9.406818,9.730729,14.824831,97.070343
0.8399965,-0.308852,2.458845,9.404425,9.725457,14.762478,97.159348
0.8450015,-0.316035,2.473210,9.423578,9.747845,14.819918,97.281975
0.8500064,-0.325611,2.466028,9.423578,9.746340,14.786435,97.521759
0.8549806,-0.344765,2.487576,9.437943,9.766354,14.900614,97.890633
0.8599855,-0.316035,2.475605,9.447520,9.771598,14.797458,97.275002
0.8649904,-0.328006,2.501941,9.459491,9.790263,14.936046,97.468910
0.8699953,-0.301669,2.466028,9.495404,9.815040,14.662392,96.974350
0.8750000,-0.284910,2.475605,9.509769,9.830845,14.683681,96.565117
0.8800049,-0.294487,2.485181,9.531317,9.854383,14.711678,96.757874
0.8849794,-0.284910,2.480393,9.528923,9.850578,14.682199,96.552551
0.8899843,-0.277727,2.504335,9.524135,9.851800,14.818569,96.328171
0.8949891,-0.284910,2.504335,9.528923,9.856634,14.815952,96.490448
0.8999940,-0.280122,2.499547,9.509769,9.836763,14.814670,96.394402
0.9049990,-0.277727,2.487576,9.461885,9.787361,14.817501,96.370453
0.9100037,-0.325611,2.501941,9.394848,9.727738,15.032415,97.415001
0.9149781,-0.337582,2.499547,9.337387,9.672047,15.116115,97.691681
0.9199831,-0.371101,2.473210,9.320627,9.650315,15.019756,98.533478
0.9249879,-0.361524,2.513912,9.284714,9.625817,15.298643,98.183571
0.9299928,-0.318429,2.501941,9.275137,9.611934,15.212215,97.253197
0.9349977,-0.318429,2.511518,9.267955,9.607503,15.278140,97.225830
0.9400027,-0.268151,2.509123,9.255983,9.593791,15.249654,96.100060
0.9450076,-0.253785,2.501941,9.287108,9.621564,15.151302,95.792007
0.9499818,-0.263362,2.487576,9.287108,9.618096,15.074834,96.043449
0.9549866,-0.289698,2.513912,9.315839,9.653420,15.197084,96.573662
0.9599916,-0.275333,2.499547,9.349358,9.681633,15.054362,96.285973
0.9649965,-0.275333,2.492364,9.373300,9.702909,14.976948,96.303947
0.9700015,-0.251391,2.497152,9.423578,9.752066,14.913358,95.748665
0.9750064,-0.229843,2.525883,9.469068,9.802864,14.994856,95.199326
0.9799805,-0.241814,2.521094,9.519346,9.850499,14.898648,95.478844
0.9849855,-0.253785,2.545036,9.545682,9.882391,14.999435,95.694580
0.9899904,-0.260968,2.521094,9.531317,9.862556,14.891460,95.909851
0.9949953,-0.277727,2.501941,9.536105,9.862765,14.787425,96.334175
1.0000002,-0.308852,2.489970,9.514558,9.839825,14.772954,97.070763
1.0050049,-0.359130,2.497152,9.495404,9.824839,14.879230,98.183929
1.0099794,-0.351948,2.497152,9.490616,9.819950,14.880679,98.022400
1.0149843,-0.359130,2.489970,9.531317,9.857735,14.785699,98.207214
1.0199891,-0.337582,2.482787,9.519346,9.843584,14.746614,97.742973
1.0249940,-0.347159,2.458845,9.526528,9.844856,14.609911,98.036354
1.0299989,-0.347159,2.463634,9.514558,9.834471,14.654213,98.020935
1.0350037,-0.380678,2.454057,9.493010,9.812469,14.660246,98.817558
1.0399781,-0.387861,2.446874,9.485827,9.804007,14.637046,99.007172
1.0449830,-0.409408,2.461239,9.452309,9.776065,14.786676,99.444244
1.0499879,-0.390255,2.461239,9.418790,9.742874,14.819530,99.009827
1.0549928,-0.390255,2.461239,9.390059,9.715102,14.862863,99.009827
1.0599977,-0.392649,2.475605,9.387665,9.716535,14.949502,99.012459
1.0650027,-0.378284,2.492364,9.375694,9.708688,15.049576,98.630318
1.0700076,-0.349553,2.494758,9.375694,9.708226,15.039445,97.976082
1.0749818,-0.351948,2.533065,9.366117,9.708988,15.272229,97.910110
1.0799868,-0.337582,2.523489,9.373300,9.712914,15.196016,97.619568
1.0849916,-0.308852,2.537854,9.342175,9.685677,15.304829,96.938667
1.0899965,-0.296881,2.542642,9.320627,9.665778,15.357644,96.659752
1.0950012,-0.272939,2.559402,9.320627,9.669495,15.437620,96.087112
1.1000061,-0.241814,2.559402,9.323022,9.670975,15.416065,95.397331
1.1049805,-0.248997,2.590526,9.370906,9.725570,15.520909,95.490303
1.1099854,-0.217872,2.568978,9.409213,9.756044,15.323397,94.847595
1.1149904,-0.186748,2.557007,9.442732,9.784597,15.190309,94.177109
1.1199952,-0.177171,2.552219,9.502586,9.840953,15.068333,93.971008
1.1250001,-0.220267,2.568978,9.540894,9.883159,15.122806,94.900604
1.1300049,-0.265756,2.571373,9.514558,9.859483,15.200119,95.900681
1.1349792,-0.289698,2.547431,9.473856,9.814646,15.142873,96.487907
1.1399843,-0.308852,2.528277,9.442732,9.780223,15.095633,96.964691
1.1449891,-0.323217,2.499547,9.452309,9.782553,14.929950,97.368050
1.1499941,-0.325611,2.482787,9.423578,9.750594,14.880853,97.471558
1.1549990,-0.337582,2.482787,9.445126,9.771826,14.857376,97.742973
1.1600037,-0.323217,2.454057,9.457097,9.775661,14.667261,97.503090
1.1649781,-0.337582,2.456451,9.481039,9.799909,14.656076,97.824966
1.1699830,-0.318429,2.463634,9.526528,9.845082,14.614961,97.364746
1.1749879,-0.311246,2.446874,9.572019,9.884716,14.450050,97.249184
1.1799928,-0.316035,2.470816,9.607931,9.925581,14.534470,97.288956
1.1849977,-0.282516,2.461239,9.646238,9.959289,14.403720,96.548096
1.1900027,-0.296881,2.468422,9.641450,9.956847,14.459682,96.858116
1.1950076,-0.318429,2.463634,9.605537,9.921555,14.499824,97.364746
1.1999818,-0.347159,2.485181,9.581595,9.904727,14.675527,97.952286
1.2049867,-0.359130,2.492364,9.538500,9.865284,14.788348,98.199440
1.2099917,-0.363919,2.504335,9.509769,9.840724,14.901609,98.268089
1.2149965,-0.356736,2.497152,9.490616,9.820124,14.884496,98.130104
1.2200012,-0.339977,2.487576,9.471462,9.798582,14.846531,97.782394
1.2250062,-0.332794,2.504335,9.449914,9.781785,14.967483,97.569527
1.2299805,-0.325611,2.516306,9.425972,9.761494,15.065784,97.373138
1.2349855,-0.328006,2.518700,9.385271,9.722898,15.143395,97.419769
1.2399904,-0.313640,2.533065,9.363723,9.705364,15.247524,97.058357
1.2449952,-0.308852,2.545036,9.358934,9.703724,15.319325,96.919273
1.2500002,-0.308852,2.540248,9.332599,9.677068,15.333370,96.932190
1.2550051,-0.301669,2.540248,9.315839,9.660679,15.354755,96.772491
1.2599794,-0.289698,2.559402,9.294291,9.644599,15.489738,96.457817
1.2649843,-0.275333,2.561796,9.313444,9.663273,15.464015,96.134407
1.2699891,-0.270545,2.540248,9.330204,9.673612,15.312331,96.079269
1.2749940,-0.308852,2.540248,9.337387,9.681686,15.325891,96.932190
1.2799989,-0.330400,2.525883,9.368511,9.708669,15.211564,97.452301
1.2850037,-0.342371,2.525883,9.390059,9.729877,15.187259,97.719116
1.2899780,-0.342371,2.513912,9.411607,9.747580,15.086779,97.755424
1.2949830,-0.332794,2.530671,9.449914,9.788561,15.115132,97.491653
1.2999879,-0.339977,2.492364,9.481039,9.809055,14.859001,97.767624
1.3049929,-0.325611,2.492364,9.495404,9.822454,14.826793,97.443176
1.3099978,-0.325611,2.487576,9.512163,9.837443,14.775057,97.457336
1.3150027,-0.323217,2.497152,9.533711,9.860623,14.794769,97.375038
1.3200074,-0.332794,2.511518,9.552865,9.883102,14.853233,97.548126
1.3249818,-0.339977,2.518700,9.531317,9.864351,14.930613,97.687378
1.3299868,-0.335188,2.506729,9.502586,9.833371,14.903363,97.616150
1.3349916,-0.328006,2.518700,9.478644,9.813060,15.000979,97.419769
1.3399965,-0.347159,2.506729,9.433155,9.766710,15.017279,97.884789
1.3450012,-0.347159,2.504335,9.404425,9.738348,15.047603,97.892235
1.3500061,-0.342371,2.518700,9.378088,9.716460,15.165251,97.740860
1.3549806,-0.332794,2.547431,9.363723,9.709761,15.342408,97.442917
1.3599854,-0.316035,2.540248,9.334992,9.679608,15.334636,97.091782
1.3649904,-0.313640,2.545036,9.320627,9.666937,15.382627,97.025490
1.3699952,-0.313640,2.542642,9.344569,9.689395,15.331536,97.032036
1.3750001,-0.311246,2.540248,9.363723,9.707165,15.286459,96.985397
1.3800051,-0.325611,2.547431,9.392453,9.737227,15.292455,97.284027
1.3849792,-0.320823,2.537854,9.452309,9.792333,15.143082,97.204834
1.3899843,-0.354342,2.552219,9.445126,9.790290,15.259389,97.904236
1.3949891,-0.349553,2.537854,9.447520,9.788693,15.171634,97.842339
1.3999940,-0.351948,2.530671,9.466674,9.805410,15.104074,97.917503
1.4049990,-0.330400,2.521094,9.457097,9.792945,15.048786,97.466301
1.4100039,-0.332794,2.506729,9.459491,9.791650,14.966425,97.562378
1.4149781,-0.318429,2.506729,9.464279,9.795798,14.948734,97.239487
1.4199830,-0.299275,2.499547,9.459491,9.788732,14.902393,96.827621
1.4249879,-0.299275,2.499547,9.454702,9.784104,14.909602,96.827621
1.4299928,-0.320823,2.480393,9.430760,9.756768,14.853047,97.369926
1.4349977,-0.323217,2.497152,9.457097,9.786569,14.909310,97.375038
1.4400024,-0.337582,2.475605,9.440337,9.765374,14.824217,97.765167
1.4450073,-0.387861,2.463634,9.466674,9.789680,14.759127,98.946892
1.4499818,-0.371101,2.492364,9.493010,9.821753,14.865871,98.468857
1.4549867,-0.411803,2.501941,9.483433,9.816557,14.969149,99.346703
1.4599917,-0.428562,2.485181,9.485827,9.815331,14.888032,99.784256
1.4649965,-0.423774,2.485181,9.497798,9.826693,14.865552,99.677010
1.4700013,-0.447716,2.513912,9.502586,9.839683,15.040827,100.098228
1.4750062,-0.426168,2.533065,9.516952,9.857505,15.104455,99.550117
1.4799806,-0.433351,2.540248,9.512163,9.855044,15.158200,99.681107
1.4849856,-0.411803,2.530671,9.512163,9.851656,15.085282,99.242432
1.4899904,-0.399832,2.545036,9.521740,9.864107,15.139761,98.928337
1.4949952,-0.397437,2.540248,9.514558,9.855843,15.122046,98.892189
1.5000002,-0.378284,2.528277,9.512163,9.849697,15.042945,98.509537
1.5050049,-0.373495,2.547431,9.509769,9.852138,15.149029,98.341080
1.5099794,-0.373495,2.542642,9.490616,9.832412,15.151551,98.356567
1.5149843,-0.375890,2.540248,9.478644,9.820329,15.158435,98.417183
1.5199893,-0.395043,2.547431,9.471462,9.816010,15.225576,98.814941
1.5249940,-0.383072,2.525883,9.440337,9.779918,15.142795,98.623695
1.5299989,-0.387861,2.537854,9.416395,9.760104,15.250667,98.689293
1.5350039,-0.378284,2.509123,9.411607,9.747673,15.088825,98.573532
